11  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
12  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
12  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
12  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
12  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
12  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
12  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
12  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
12  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
12  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
13  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
13  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
13  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
13  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
13  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
13  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
13  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
13  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
13  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
14  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
14  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
14  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
14  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
14  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
14  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
14  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
14  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
14  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
15  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
15  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
15  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
15  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
15  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
15  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
15  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
15  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
15  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
16  	 4 	 7 	 9.302138 	 0.001265 	 227.470612 
16  	 4 	 2 	 5.670333 	 0.006109 	 1096.278148 
16  	 4 	 13 	 5.123421 	 0.014436 	 2579.884777 
16  	 4 	 9 	 9.918570 	 0.001030 	 185.290632 
16  	 4 	 5 	 10.825857 	 0.000721 	 129.822110 
16  	 4 	 8 	 12.094982 	 0.000467 	 84.091120 
16  	 4 	 12 	 9.919491 	 0.001027 	 184.737081 
16  	 4 	 1 	 4.593593 	 0.022362 	 3980.765616 
16  	 4 	 6 	 6.545625 	 0.005245 	 941.665976 
