25  	 3 	 5 	 10.622887 	 0.002992 	 537.785168 
25  	 3 	 4 	 9.867767 	 0.004041 	 725.969649 
26  	 3 	 2 	 9.546859 	 0.007049 	 1264.437801 
26  	 3 	 1 	 9.408796 	 0.007472 	 1340.021914 
26  	 3 	 5 	 10.622887 	 0.004712 	 846.120942 
26  	 3 	 4 	 9.867767 	 0.006176 	 1108.287884 
27  	 3 	 3 	 8.600037 	 0.010683 	 1912.698393 
27  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
27  	 3 	 6 	 10.744609 	 0.004466 	 802.082367 
27  	 3 	 4 	 9.867767 	 0.006328 	 1135.475483 
28  	 3 	 2 	 9.546859 	 0.004586 	 823.527288 
28  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
28  	 3 	 6 	 10.744609 	 0.002885 	 518.598880 
28  	 3 	 4 	 9.867767 	 0.006328 	 1135.475483 
29  	 3 	 6 	 10.744609 	 0.004502 	 808.510271 
29  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
29  	 3 	 5 	 10.622887 	 0.004712 	 846.120942 
29  	 3 	 4 	 9.867767 	 0.006328 	 1135.475483 
30  	 3 	 6 	 10.744609 	 0.004502 	 808.510271 
30  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
30  	 3 	 5 	 10.622887 	 0.004712 	 846.120942 
30  	 3 	 4 	 9.867767 	 0.006328 	 1135.475483 
31  	 3 	 6 	 10.744609 	 0.004402 	 790.602346 
31  	 3 	 1 	 9.408796 	 0.007656 	 1372.872575 
31  	 3 	 5 	 10.622887 	 0.004712 	 846.120942 
31  	 3 	 4 	 9.867767 	 0.006188 	 1110.347819 
32  	 3 	 2 	 9.546859 	 0.007083 	 1270.408193 
32  	 3 	 1 	 9.408796 	 0.007508 	 1346.347863 
32  	 3 	 5 	 10.622887 	 0.004620 	 829.749934 
32  	 3 	 4 	 9.867767 	 0.006328 	 1135.475483 
33  	 3 	 1 	 9.408796 	 0.007573 	 1358.062922 
33  	 3 	 6 	 10.744609 	 0.004453 	 799.775068 
33  	 3 	 3 	 8.600037 	 0.010653 	 1907.312874 
33  	 3 	 4 	 9.867767 	 0.006328 	 1135.475483 
34  	 3 	 6 	 10.744609 	 0.004478 	 804.202458 
34  	 3 	 5 	 10.622887 	 0.004712 	 846.120942 
34  	 3 	 2 	 9.546859 	 0.007080 	 1269.894882 
34  	 3 	 4 	 9.867767 	 0.006328 	 1135.475483 
35  	 3 	 1 	 9.408796 	 0.004865 	 873.531304 
35  	 3 	 6 	 10.744609 	 0.002871 	 515.971676 
