8 	 7 	 10  	 3  	 13047.289345 	 1.375000 	 1 
20 	 1 	 10  	 4  	 289926.846007 	 6.000000 	 4 
20 	 2 	 10  	 1  	 2858.425262 	 1.050000 	 1 
20 	 3 	 10  	 1  	 613.044791 	 0.950000 	 0 
20 	 4 	 10  	 4  	 38196.414274 	 2.000000 	 0 
20 	 5 	 10  	 2  	 1954.157335 	 1.000000 	 0 
20 	 6 	 10  	 1  	 3641.232060 	 0.900000 	 0 
20 	 7 	 10  	 5  	 10203.495183 	 0.250000 	 0 
20 	 1 	 10  	 5  	 3099.684904 	 8.050000 	 3 
20 	 2 	 10  	 4  	 1367.102003 	 2.150000 	 1 
20 	 3 	 10  	 2  	 8357.224411 	 0.700000 	 5 
20 	 4 	 10  	 5  	 854747.886442 	 4.300000 	 1 
20 	 5 	 10  	 2  	 41937.044741 	 0.900000 	 0 
20 	 6 	 10  	 1  	 919.695504 	 1.000000 	 0 
20 	 7 	 10  	 2  	 444.188396 	 0.250000 	 0 
20 	 1 	 10  	 2  	 2256.992796 	 3.050000 	 1 
20 	 2 	 10  	 3  	 203.363379 	 2.000000 	 0 
20 	 3 	 10  	 4  	 37.554144 	 1.000000 	 0 
20 	 4 	 10  	 1  	 95.976761 	 0.950000 	 0 
20 	 5 	 10  	 5  	 177.340232 	 1.200000 	 2 
20 	 6 	 10  	 2  	 273.539534 	 0.300000 	 2 
20 	 7 	 10  	 2  	 15.412149 	 0.150000 	 0 
20 	 1 	 10  	 4  	 159595.334416 	 4.150000 	 1 
20 	 2 	 10  	 2  	 1653.517064 	 1.000000 	 0 
20 	 3 	 10  	 3  	 139.188774 	 1.050000 	 2 
20 	 4 	 10  	 3  	 393.937885 	 2.100000 	 0 
20 	 5 	 10  	 1  	 22.458892 	 0.100000 	 1 
20 	 6 	 10  	 3  	 69.555205 	 2.000000 	 0 
20 	 7 	 10  	 2  	 4.557150 	 0.050000 	 0 
20 	 1 	 10  	 2  	 43921.934517 	 2.000000 	 0 
20 	 2 	 10  	 5  	 1396.184472 	 0.200000 	 1 
20 	 3 	 10  	 1  	 201.424296 	 0.150000 	 1 
20 	 4 	 10  	 3  	 1920.498346 	 0.550000 	 5 
