5 	 1 	 329.681940 	 329.681940 	 0.090909 	 329.681940 	 0.020249 	 329.681940 
5 	 2 	 2443.126725 	 2772.808665 	 0.090909 	 2772.808665 	 0.158867 	 2443.126725 
5 	 3 	 2443.126725 	 5215.935390 	 0.090909 	 5215.935390 	 0.158867 	 2443.126725 
5 	 4 	 2443.126725 	 7659.062115 	 0.090909 	 7659.062115 	 0.158867 	 2443.126725 
5 	 5 	 2443.126725 	 10102.188840 	 0.090909 	 10102.188840 	 0.158867 	 2443.126725 
5 	 6 	 2443.126725 	 12545.315565 	 0.090909 	 12545.315565 	 0.158867 	 2443.126725 
5 	 7 	 2443.126725 	 14988.442290 	 0.090909 	 14988.442290 	 0.158867 	 2443.126725 
5 	 8 	 2443.126725 	 17431.569016 	 0.090909 	 17431.569016 	 0.158867 	 2443.126725 
5 	 9 	 2443.126725 	 19874.695741 	 0.090909 	 19874.695741 	 0.158867 	 2443.126725 
5 	 10 	 2443.126725 	 22317.822466 	 0.090909 	 22317.822466 	 0.158867 	 2443.126725 
5 	 11 	 2443.126725 	 24760.949191 	 0.090909 	 24760.949191 	 0.158867 	 2443.126725 
5 	 12 	 2443.126725 	 27204.075916 	 0.090909 	 27204.075916 	 0.158867 	 2443.126725 
5 	 13 	 2443.126725 	 29647.202641 	 0.090909 	 29647.202641 	 0.158867 	 2443.126725 
5 	 14 	 2443.126725 	 32090.329366 	 0.090909 	 32090.329366 	 0.158867 	 2443.126725 
5 	 15 	 2443.126725 	 34533.456092 	 0.090909 	 34533.456092 	 0.158867 	 2443.126725 
5 	 16 	 2443.126725 	 36976.582817 	 0.090909 	 36976.582817 	 0.158867 	 2443.126725 
5 	 17 	 2443.126725 	 39419.709542 	 0.090909 	 39419.709542 	 0.158867 	 2443.126725 
5 	 18 	 2443.126725 	 41862.836267 	 0.090909 	 41862.836267 	 0.158867 	 2443.126725 
5 	 19 	 2443.126725 	 44305.962992 	 0.090909 	 44305.962992 	 0.158867 	 2443.126725 
5 	 20 	 2443.126725 	 46749.089717 	 0.090909 	 46749.089717 	 0.158867 	 2443.126725 
5 	 21 	 2443.126725 	 49192.216443 	 0.090909 	 49192.216443 	 0.158867 	 2443.126725 
5 	 22 	 2443.126725 	 51635.343168 	 0.090909 	 51635.343168 	 0.158867 	 2443.126725 
5 	 23 	 2443.126725 	 54078.469893 	 0.090909 	 54078.469893 	 0.158867 	 2443.126725 
5 	 24 	 2443.126725 	 56521.596618 	 0.090909 	 56521.596618 	 0.158867 	 2443.126725 
5 	 25 	 2443.126725 	 58964.723343 	 0.090909 	 58964.723343 	 0.158867 	 2443.126725 
5 	 26 	 2443.126725 	 61407.850068 	 0.090909 	 61407.850068 	 0.158867 	 2443.126725 
5 	 27 	 2443.126725 	 63850.976793 	 0.090909 	 63850.976793 	 0.158867 	 2443.126725 
5 	 28 	 2443.126725 	 66294.103519 	 0.090909 	 66294.103519 	 0.158867 	 2443.126725 
5 	 29 	 2443.126725 	 68737.230244 	 0.090909 	 68737.230244 	 0.158867 	 2443.126725 
5 	 30 	 2443.126725 	 71180.356969 	 0.090909 	 71180.356969 	 0.158867 	 2443.126725 
5 	 31 	 2443.126725 	 73623.483694 	 0.090909 	 73623.483694 	 0.158867 	 2443.126725 
5 	 32 	 2443.126725 	 76066.610419 	 0.090909 	 76066.610419 	 0.158867 	 2443.126725 
5 	 33 	 2443.126725 	 78509.737144 	 0.090909 	 78509.737144 	 0.158867 	 2443.126725 
5 	 34 	 2443.126725 	 80952.863869 	 0.090909 	 80952.863869 	 0.158867 	 2443.126725 
5 	 35 	 2443.126725 	 83395.990595 	 0.090909 	 83395.990595 	 0.158867 	 2443.126725 
5 	 36 	 2443.126725 	 85839.117320 	 0.090909 	 85839.117320 	 0.158867 	 2443.126725 
5 	 37 	 2443.126725 	 88282.244045 	 0.090909 	 88282.244045 	 0.158867 	 2443.126725 
5 	 38 	 2443.126725 	 90725.370770 	 0.090909 	 90725.370770 	 0.158867 	 2443.126725 
5 	 39 	 2443.126725 	 93168.497495 	 0.090909 	 93168.497495 	 0.158867 	 2443.126725 
5 	 40 	 2443.126725 	 95611.624220 	 0.090909 	 95611.624220 	 0.158867 	 2443.126725 
5 	 41 	 2443.126725 	 98054.750946 	 0.090909 	 98054.750946 	 0.158867 	 2443.126725 
5 	 42 	 2443.126725 	 100497.877671 	 0.090909 	 100497.877671 	 0.158867 	 2443.126725 
5 	 43 	 2443.126725 	 102941.004396 	 0.090909 	 102941.004396 	 0.158867 	 2443.126725 
5 	 44 	 2443.126725 	 105384.131121 	 0.090909 	 105384.131121 	 0.158867 	 2443.126725 
5 	 45 	 2443.126725 	 107827.257846 	 0.090909 	 107827.257846 	 0.158867 	 2443.126725 
5 	 46 	 2443.126725 	 110270.384571 	 0.090909 	 110270.384571 	 0.158867 	 2443.126725 
5 	 47 	 2443.126725 	 112713.511296 	 0.090909 	 112713.511296 	 0.158867 	 2443.126725 
5 	 48 	 2443.126725 	 115156.638022 	 0.090909 	 115156.638022 	 0.158867 	 2443.126725 
5 	 49 	 2443.126725 	 117599.764747 	 0.090909 	 117599.764747 	 0.158867 	 2443.126725 
5 	 50 	 2443.126725 	 120042.891472 	 0.090909 	 120042.891472 	 0.158867 	 2443.126725 
5 	 51 	 2443.126725 	 122486.018197 	 0.090909 	 122486.018197 	 0.158867 	 2443.126725 
5 	 52 	 2443.126725 	 124929.144922 	 0.090909 	 124929.144922 	 0.158867 	 2443.126725 
