1 	 1 	 16 	 16 	 27 	 16 	 0
1 	 2 	 8 	 8 	 380 	 24 	 0
2 	 1 	 16 	 16 	 15 	 16 	 0
2 	 2 	 8 	 8 	 380 	 24 	 0
