1  	 5 	 2 	 0.645323 	 56.121391 	 1050472.658017 
1  	 5 	 4 	 8.255078 	 0.002133 	 553.289138 
1  	 5 	 5 	 10.020139 	 0.000990 	 256.913581 
1  	 5 	 13 	 13.089759 	 0.000341 	 88.439554 
1  	 5 	 9 	 6.641773 	 0.002970 	 770.230484 
1  	 5 	 3 	 12.861514 	 0.000365 	 94.885375 
1  	 5 	 15 	 13.308286 	 0.000319 	 82.773120 
1  	 5 	 10 	 10.401740 	 0.000854 	 221.736748 
1  	 5 	 8 	 10.281226 	 0.000895 	 232.312814 
1  	 5 	 14 	 7.189053 	 0.003691 	 956.776361 
1  	 5 	 19 	 7.812336 	 0.002679 	 694.726615 
1  	 5 	 7 	 11.270690 	 0.000619 	 160.795307 
1  	 5 	 11 	 11.019894 	 0.000678 	 175.957247 
1  	 5 	 25 	 6.898405 	 0.003855 	 999.160015 
1  	 5 	 1 	 9.938387 	 0.001025 	 265.972995 
1  	 5 	 21 	 4.212631 	 0.029042 	 7434.401134 
1  	 5 	 23 	 7.096604 	 0.003943 	 1021.856567 
1  	 5 	 16 	 4.847050 	 0.016188 	 4170.245828 
1  	 5 	 24 	 10.388415 	 0.000858 	 222.599270 
1  	 5 	 17 	 2.825504 	 0.155089 	 37440.649135 
2  	 5 	 2 	 0.645323 	 56.155360 	 1050627.039747 
2  	 5 	 4 	 8.255078 	 0.002133 	 553.289138 
2  	 5 	 5 	 10.020139 	 0.000990 	 256.913581 
2  	 5 	 12 	 12.678724 	 0.000378 	 98.126331 
2  	 5 	 9 	 6.641773 	 0.002970 	 770.230484 
2  	 5 	 20 	 11.579710 	 0.000556 	 144.282512 
2  	 5 	 15 	 13.308286 	 0.000319 	 82.773120 
2  	 5 	 10 	 10.401740 	 0.000854 	 221.736748 
2  	 5 	 8 	 10.281226 	 0.000881 	 228.567709 
2  	 5 	 14 	 7.189053 	 0.003691 	 956.776361 
2  	 5 	 19 	 7.812336 	 0.002667 	 691.537479 
2  	 5 	 7 	 11.270690 	 0.000620 	 160.883127 
2  	 5 	 11 	 11.019894 	 0.000678 	 176.031387 
2  	 5 	 25 	 6.898405 	 0.003855 	 999.160015 
2  	 5 	 1 	 9.938387 	 0.001025 	 266.048554 
2  	 5 	 21 	 4.212631 	 0.029056 	 7437.912087 
2  	 5 	 23 	 7.096604 	 0.003943 	 1021.856567 
2  	 5 	 16 	 4.847050 	 0.016188 	 4170.245828 
2  	 5 	 24 	 10.388415 	 0.000858 	 222.599270 
2  	 5 	 17 	 2.825504 	 0.155181 	 37461.328228 
3  	 5 	 2 	 0.645323 	 57.662130 	 1057384.360565 
3  	 5 	 4 	 8.255078 	 0.002133 	 553.289138 
3  	 5 	 5 	 10.020139 	 0.000990 	 256.913581 
3  	 5 	 12 	 12.678724 	 0.000378 	 98.174964 
3  	 5 	 9 	 6.641773 	 0.002970 	 770.230484 
3  	 5 	 20 	 11.579710 	 0.000556 	 144.282512 
3  	 5 	 3 	 12.861514 	 0.000365 	 94.671971 
3  	 5 	 10 	 10.401740 	 0.000854 	 221.736748 
3  	 5 	 8 	 10.281226 	 0.000881 	 228.567709 
3  	 5 	 14 	 7.189053 	 0.003691 	 956.776361 
3  	 5 	 19 	 7.812336 	 0.002667 	 691.537479 
3  	 5 	 7 	 11.270690 	 0.000620 	 160.883127 
3  	 5 	 11 	 11.019894 	 0.000678 	 176.031387 
3  	 5 	 25 	 6.898405 	 0.003855 	 999.160015 
3  	 5 	 1 	 9.938387 	 0.001025 	 266.048554 
3  	 5 	 21 	 4.212631 	 0.028944 	 7409.586061 
3  	 5 	 23 	 7.096604 	 0.003943 	 1021.856567 
3  	 5 	 16 	 4.847050 	 0.016188 	 4170.245828 
3  	 5 	 24 	 10.388415 	 0.000858 	 222.599270 
3  	 5 	 17 	 2.825504 	 0.155181 	 37461.328228 
4  	 5 	 2 	 0.645323 	 57.662130 	 1057384.360565 
4  	 5 	 4 	 8.255078 	 0.002133 	 553.289138 
4  	 5 	 5 	 10.020139 	 0.000990 	 256.913581 
4  	 5 	 12 	 12.678724 	 0.000378 	 98.174964 
4  	 5 	 9 	 6.641773 	 0.002970 	 770.230484 
4  	 5 	 20 	 11.579710 	 0.000556 	 144.282512 
4  	 5 	 3 	 12.861514 	 0.000365 	 94.671971 
4  	 5 	 10 	 10.401740 	 0.000854 	 221.736748 
4  	 5 	 8 	 10.281226 	 0.000881 	 228.567709 
4  	 5 	 14 	 7.189053 	 0.003691 	 956.776361 
4  	 5 	 19 	 7.812336 	 0.002667 	 691.537479 
4  	 5 	 7 	 11.270690 	 0.000620 	 160.883127 
4  	 5 	 11 	 11.019894 	 0.000678 	 176.031387 
4  	 5 	 25 	 6.898405 	 0.003855 	 999.160015 
4  	 5 	 1 	 9.938387 	 0.001025 	 266.048554 
4  	 5 	 21 	 4.212631 	 0.028944 	 7409.586061 
4  	 5 	 23 	 7.096604 	 0.003943 	 1021.856567 
4  	 5 	 16 	 4.847050 	 0.016188 	 4170.245828 
4  	 5 	 24 	 10.388415 	 0.000858 	 222.599270 
4  	 5 	 17 	 2.825504 	 0.155181 	 37461.328228 
5  	 5 	 2 	 0.645323 	 57.662130 	 1057384.360565 
5  	 5 	 4 	 8.255078 	 0.002133 	 553.289138 
5  	 5 	 5 	 10.020139 	 0.000990 	 256.913581 
5  	 5 	 12 	 12.678724 	 0.000378 	 98.174964 
5  	 5 	 9 	 6.641773 	 0.002970 	 770.230484 
5  	 5 	 20 	 11.579710 	 0.000556 	 144.282512 
